rf_r2,rf_mae,rf_rmse,lin_r2,lin_mae,lin_rmse
0.4826375418405171,14.43896225052527,18.20217294809649,0.5606201281631532,13.263550755874832,16.77435615290234
0.23107799260573347,14.93885396650192,19.917042807972475,0.5396553423937247,10.719844647151767,15.410802865169016
0.42458687942153095,14.669370066274091,17.651424846078232,0.44960039507688676,14.485121737007224,17.263503790429066
0.674161567763829,9.833667794223796,13.09082934006388,0.6237649440235107,10.633817087133444,14.066810496798805
0.45204850637368965,14.810129439192265,19.217016284781774,0.5368834541337635,13.925135440192891,17.666887735967197
0.532692748655839,11.082809923241193,14.388222560536878,0.47282979133103287,11.842446913580595,15.282039456793566
0.42568844111970106,11.05157633586383,14.169620691570437,0.43788492901258125,10.902679087665389,14.018355225630362
0.41379875480659156,13.269282363323299,18.02446429861901,0.22349433907550764,14.998843133270684,20.744898334048454
0.6818211011619506,10.455570690838247,13.367629500932518,0.6645683923402104,10.979285580676718,13.725263936884328
0.2921448214707161,28.59368112817612,34.6597491168514,0.3249524760945124,27.742807276624152,33.847015653286995
-0.3266070328640829,20.6108188624387,26.753639971453133,-0.33611359030058763,21.99823261938194,26.849328064645356
0.22554319510218246,17.031197694147036,21.713376241574927,0.25720585596721346,17.383882175505274,21.26488279080197
0.13662702823351736,16.958477794239506,22.282589042261698,0.4309070002262205,12.280933436669386,18.0908114825821
0.5323642183968267,13.987509556183035,17.651123177737563,0.4969619984148391,13.770404119692301,18.307071423644576
0.6098254796510065,11.70746490196369,15.347990497214042,0.6066522408599364,12.134346449511202,15.410275722728029
0.4829722894077342,12.85755769482287,16.350178776727702,0.4536112232028563,12.947358007690532,16.808017077564696
0.5020959059260819,12.878022855462907,15.956709913880411,0.5652281108505,11.906594832996984,14.910809761603591
0.40227914843695,13.204065389075817,17.043188765271793,0.26445934141163585,14.013537071001581,18.906232442787857
0.4777649855779036,15.375791379890524,20.997015688819193,0.5678822340509574,14.36195302584542,19.099660182751556
0.4116622547480474,15.368406657267471,20.6598048012978,0.44578741382580367,15.028827741570842,20.05169315876215
0.499496536320552,12.347257945336647,15.708826308496246,0.5675553603936354,11.533252480436232,14.601768312744781
